r,vel,vel_Mol,vel_Atom
0.13440860215053765, 11.872791519434715, 3.2110137367934057, 0.6422164662685079
0.3064516129032258, 26.21908127208482, 7.3853350243522895, 1.6055240170339864
0.4731182795698925, 37.102473498233245, 12.844054947173623, 1.6055240170339864
0.6505376344086022, 47.7385159010601, 15.41285221769852, 3.532139118564943
0.8306451612903226, 57.87985865724386, 16.05506868396703, 3.532139118564943
1.0080645161290323, 66.28975265017672, 12.522963862676653, 4.4954123720558545
1.163978494623656, 72.72084805653716, 17.660558403726448, 5.779845304592871
1.3548387096774195, 79.15194346289756, 24.724802343581768, 7.3853350243522895
1.5215053763440862, 83.35689045936395, 31.78901198616252, 7.70642610884926
1.6908602150537635, 87.56183745583041, 36.284424358218374, 9.954132294877187
1.8682795698924732, 89.78798586572441, 43.99085046706763, 10.917439845642665
2.0403225806451615, 91.27208480565373, 45.91743127132403, 11.238530930139635
2.209677419354839, 91.27208480565373, 45.275249102330086, 11.880747396408145